Wall time,Step,Value
158.2551679611206,0,-0.025232072919607162
1829.5124983787537,4,-5.446012496948242
3518.968246936798,8,-6.8769378662109375
5194.791176080704,12,-6.599644660949707
6789.197911262512,16,-7.516951560974121
8412.709511041641,20,-7.855903148651123
10057.809238672256,24,-6.2096734046936035
11677.466865062714,28,-4.410055637359619
13280.571089029312,32,-5.755308628082275
14886.703160762787,36,-5.648186206817627
16535.908107042313,40,-5.779186725616455
18156.363286972046,44,-5.857588291168213
19766.41237807274,48,-6.2091827392578125
21374.371472120285,52,-7.778993129730225
22986.658838510513,56,-6.535286903381348
24639.597242593765,60,-6.0272369384765625
26252.26812028885,64,-6.240198135375977
27866.041988372803,68,-6.255221843719482
29479.228103160858,72,-7.279329299926758
31090.27847623825,76,-6.904257297515869
32744.337084531784,80,-6.8927202224731445
34355.75684261322,84,-7.304783821105957
35966.90257334709,88,-7.232379913330078
37579.51264882088,92,-7.608702659606934
39185.853754520416,96,-6.358781337738037
40841.30510878563,100,-5.612457275390625
42454.53162240982,104,-6.1481804847717285
44066.06217646599,108,-5.93475866317749
45680.93181347847,112,-5.683450222015381
47294.97972917557,116,-5.658548831939697
48954.49114847183,120,-5.161444187164307
50571.03604245186,124,-5.887363433837891
52189.29952740669,128,-4.652276992797852
53810.64085316658,132,-4.525247097015381
55434.124789237976,136,-5.7006683349609375
57088.56306195259,140,-6.772325038909912
58703.48355102539,144,-6.727447032928467
60325.937559366226,148,-6.41853666305542
61953.95574402809,152,-5.466160774230957
63580.92508268356,156,-4.041993141174316
65247.746591091156,160,-4.047916412353516
66876.31101870537,164,-3.571178913116455
68508.0404779911,168,-4.599872589111328
70137.4170885086,172,-4.407011032104492
71768.17857933044,176,-4.926022052764893
73438.17708778381,180,-6.335318088531494
75076.56090664864,184,-4.480996131896973
76711.83473992348,188,-4.1887993812561035
78349.63921642303,192,-3.9551703929901123
79985.96281266212,196,-3.973388910293579
81666.16921162605,200,-4.26440954208374
