Wall time,Step,Value
168.40129971504211,0,-0.8670122623443604
1857.187549829483,4,-1.7256985902786255
3568.5549154281616,8,-1.7910927534103394
5199.569888114929,12,-2.0548837184906006
6858.133605003357,16,-2.2315516471862793
8562.197840929031,20,-2.039569139480591
10230.274919748306,24,-2.0757782459259033
11896.760404348373,28,-1.9825936555862427
13566.446625947952,32,-1.9527567625045776
15231.387889146805,36,-2.0272254943847656
16915.70508790016,40,-1.9369556903839111
18557.964573144913,44,-1.9023302793502808
20202.01003265381,48,-1.727723240852356
21846.892859458923,52,-1.7510104179382324
23487.8566198349,56,-1.8280988931655884
25173.993230581284,60,-1.8668235540390015
26822.027336597443,64,-1.779626727104187
28463.3044090271,68,-1.7980903387069702
30105.52968788147,72,-1.686349868774414
31746.324194908142,76,-1.5835825204849243
33437.111941576004,80,-1.8521372079849243
35076.036437273026,84,-1.6505531072616577
36735.365267038345,88,-1.6946940422058105
38407.069575071335,92,-1.7279282808303833
40094.03490495682,96,-1.6848245859146118
41842.73793435097,100,-1.6435589790344238
43544.53390169144,104,-1.5010395050048828
45244.910048246384,108,-1.6089483499526978
46939.07963347435,112,-1.597111463546753
48620.81999659538,116,-1.5546625852584839
50293.58661389351,120,-1.618109941482544
51928.88004040718,124,-1.5980076789855957
53563.22054696083,128,-1.561524510383606
55199.34868645668,132,-1.6495740413665771
56833.43160915375,136,-1.550261378288269
58515.22211647034,140,-1.4433021545410156
60151.5669298172,144,-1.675405502319336
61786.40625810623,148,-1.5988763570785522
63422.686733961105,152,-1.6003073453903198
65058.17619752884,156,-1.5511425733566284
66738.776034832,160,-1.5805275440216064
68374.14984440804,164,-1.5265215635299683
70008.88231706619,168,-1.64065682888031
71644.11778116226,172,-1.6177550554275513
73283.18683052063,176,-1.5706615447998047
74967.84474372864,180,-1.5580123662948608
76608.99815368652,184,-1.556950569152832
78250.34809041023,188,-1.5192538499832153
79897.73257517815,192,-1.5493961572647095
81533.90987086296,196,-1.474215030670166
83228.093978405,200,-1.5987492799758911
