Wall time,Step,Value
225.2390115261078,0,-0.04912213236093521
3817.8650374412537,4,-3.0722925662994385
7462.107979297638,8,-2.232699155807495
11105.360000610352,12,-2.382690191268921
14763.32806301117,16,-2.8190090656280518
18425.36987733841,20,-3.583750009536743
22106.606726884842,24,-3.980665445327759
25769.96745467186,28,-4.093889236450195
29328.692803382874,32,-4.338244915008545
32850.92384696007,36,-3.97279691696167
36414.50280857086,40,-3.8573460578918457
39995.375507593155,44,-3.9274966716766357
43534.2699174881,48,-4.353142738342285
47077.73428440094,52,-3.988513946533203
50633.014563560486,56,-3.7983579635620117
54216.21283531189,60,-4.134761810302734
57783.69199991226,64,-3.85225772857666
61326.57578134537,68,-3.9712440967559814
64872.13285064697,72,-4.134732246398926
68421.41965150833,76,-4.014793395996094
72017.03980946541,80,-4.4664530754089355
75635.44274640083,84,-4.055823802947998
79254.87267661095,88,-4.211222171783447
82874.66828632355,92,-3.765622615814209
86485.76710438728,96,-4.094120502471924
90129.75187134743,100,-4.064024448394775
93730.1878798008,104,-4.196040630340576
97293.49764609337,108,-3.973482370376587
100864.66549372673,112,-4.149035930633545
104521.7428765297,116,-4.443545818328857
108223.54669260979,120,-4.825056552886963
111929.98392438889,124,-4.841760158538818
115609.73576641083,128,-3.7491648197174072
119206.93908166885,132,-3.7722678184509277
122825.65960001945,136,-3.6439578533172607
126476.94569659233,140,-3.7642059326171875
130073.70312547684,144,-3.9225916862487793
133651.6586523056,148,-3.764751434326172
137231.00694346428,152,-3.8107755184173584
140788.99260425568,156,-3.789013147354126
144371.08385920525,160,-3.9410746097564697
148028.4479176998,164,-3.7823848724365234
151695.80379390717,168,-3.768831729888916
155345.91620445251,172,-4.189535140991211
159017.53920650482,176,-3.544114828109741
162702.83075618744,180,-4.266604900360107
166374.5670156479,184,-3.798051118850708
170047.91109585762,188,-4.063350200653076
173709.93765091896,192,-3.836787700653076
177365.16660809517,196,-3.7463159561157227
181066.53038430214,200,-3.9992401599884033
184776.0149166584,204,-3.322153329849243
188466.77234053612,208,-3.8201982975006104
192146.96503162384,212,-3.4043948650360107
195833.51864552498,216,-3.4184396266937256
199542.23817682266,220,-4.147563934326172
203214.35715818405,224,-3.334937334060669
206919.90521240234,228,-3.5064055919647217
210626.02525401115,232,-3.7145352363586426
214319.11308002472,236,-3.5747573375701904
218044.32363772392,240,-3.893063545227051
221724.1403312683,244,-3.278658390045166
225411.79299139977,248,-3.4189093112945557
229086.72343206406,252,-3.1247782707214355
232765.57770252228,256,-3.3506052494049072
236465.6401093006,260,-3.2651689052581787
240173.52626872063,264,-3.3958234786987305
243893.70008730888,268,-3.563795566558838
247597.441300869,272,-3.718485116958618
251292.6560230255,276,-3.927666187286377
255030.58058834076,280,-4.364414215087891
258724.6045024395,284,-3.1448910236358643
262430.0065882206,288,-3.336656332015991
266130.3250710964,292,-3.42252516746521
269826.76893663406,296,-3.266078472137451
273547.6179597378,300,-2.933760643005371
277267.2419910431,304,-3.058236837387085
280981.7720873356,308,-2.9674243927001953
284683.22418022156,312,-3.4547879695892334
288400.80509519577,316,-3.1688907146453857
292080.9216272831,320,-3.171208381652832
295696.67181277275,324,-3.2484960556030273
299301.01564359665,328,-3.439039945602417
302874.4598765373,332,-3.5878491401672363
306444.81024336815,336,-3.268650770187378
310048.34681487083,340,-3.5302531719207764
